_id,name,bic,isin,kurz,min,max,Negativní scénář (růstová míra %),Neutrální scénář (růstová míra %),Pozitivní scénář (růstová míra %)
65d74ebd108ec9dc4eb3d631,"ST.DLUHOP. 4,90/34",BIASTDL,CZ0001006894,102.62,102.62,102.62,-1.62,-2.15,0.26
65d74ebd108ec9dc4eb3d632,"ST.DLUHOP. 2,50/28",BEDSTDL,CZ0001003859,95.88,95.88,95.88,2.13,-0.75,-0.78
65d74ebd108ec9dc4eb3d633,"DIRECT 6,85/26",BDADIRFI,CZ0003538399,100,100,100,1.85,2.89,1.82
65d74ebd108ec9dc4eb3d634,MONETA MB VAR/30,BDBGECBA,CZ0003705188,100,100,100,1.04,1.79,1.9
65d74ebd108ec9dc4eb3d635,MND VAR/27,BDBMNDAS,CZ0003538183,101,100,101,-2.34,-1,-1.4
65d74ebd108ec9dc4eb3d636,HZL HB VAR/37,,CZ0002001266,115.33,115.33,115.33,-0.82,0.62,-0.75
65d74ebd108ec9dc4eb3d637,HZL HB VAR/37 - 1,,CZ0002001308,116.71,116.71,116.71,1.86,2.29,2.44
65d74ebd108ec9dc4eb3d638,"ČSNF SICAV 9,00/25",BDHBOHRE,CZ0003548927,101.15,101.15,101.15,2.3,-1.1,-2.34
65d74ebd108ec9dc4eb3d639,"EQUA BANK 4,06/29",BDDICBA,CZ0003704900,100,100,100,1.22,-0.46,-0.82
65d74ebd108ec9dc4eb3d63a,SPP 26T 08/12,BIISTDL,CZ0001007181,98.07,98.07,98.07,-0.96,-1.11,-1.39
65d74ebd108ec9dc4eb3d63b,"ST.DLUHOP. 5,70/24",BCJSTDL,CZ0001002547,103.99,103.99,103.99,1.66,-0.7,-1.01
65d74ebd108ec9dc4eb3d63c,HZL HB VAR/37 - 2,BOIREGI,CZ0002001720,116.5,116.5,116.5,-1.84,-0.28,-1.24
65d74ebd108ec9dc4eb3d63d,NET4GAS VAR/28,BDBNETGA,CZ0003529786,100,100,100,-0.52,-2,-0.51
65d74ebd108ec9dc4eb3d63e,ST.DLUHOP. VAR/24,BHUSTDL,CZ0001006498,100.68,100.68,100.68,-0.08,-0.56,-0.75
65d74ebd108ec9dc4eb3d63f,"ČSNF SICAV 9,00/26",BDFBOHRE,CZ0003548901,101.15,101.15,101.15,2.16,0.42,-2
65d74ebd108ec9dc4eb3d640,"DIAMOND 4,00/24",,CZ0003510851,100,100,100,-2.41,-2.31,-1.53
65d74ebd108ec9dc4eb3d641,ST.DLUHOP. VAR/27,BEJSTDL,CZ0001004105,97.55,97.55,97.55,0.99,1.18,0.47
65d74ebd108ec9dc4eb3d642,HZL HB VAR/37 - 3,,CZ0002001183,116.79,116.79,116.79,1.76,0.92,-0.67
65d74ebd108ec9dc4eb3d643,"HZL RB CRR 1,00/30",BDVRZBC,CZ0002007057,100.36,100.36,100.36,-0.21,-1.36,0
65d74ebd108ec9dc4eb3d644,COLTCZ VAR/29,BDBCZGCE,CZ0003537029,100,100,100,-1.41,-2.35,-0.98
